Shop,Location,Open Since,Contact
"<a href=""http://louise-geniesst.wixsite.com/louise-geniesst"" target=""_blank"">Louise Genießt 

<img src=""https://www.bepakt.com/images/logo_louisegeniesst_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Louise+genießt+-+unverpackte+Lebensart/@50.9759995,11.0250511,17z/data=!3m1!4b1!4m5!3m4!1s0x47a47295b002c619:0x1994a176ec44bb37!8m2!3d50.9759961!4d11.0272451"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Erfurt [99084]
<i>Paulstraße 25</i>","1-Jun-2016

<b><span style=""color:red""> Closed 29-Nov-2017</span></b>
","<a href=""http://louise-geniesst.wixsite.com/louise-geniesst"" target=""_blank"">louise-geniesst</a>
<a href=""mailto:kontakt@louise-geniesst.de"">kontakt@louise-geniesst.de</a>
+49 361 64459636

<a href=""https://www.facebook.com/Louise-genießt-Unverpackte-Lebensart-496585540489796/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>
"
"<a href=""http://prana.zone/prana-bio-bulk"" target=""_blank"">Prana Bio Bulk 

<img src=""https://www.bepakt.com/images/logo_prana_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

<a href=""https://www.google.com/maps/place/Prana+Gezondheidscentrum/@51.0245859,5.2620001,17z/data=!3m1!4b1!4m5!3m4!1s0x47c12525d0a7e5e3:0x48fb73a4dfe04c64!8m2!3d51.0245859!4d5.2641888?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Heusden-Zolder [3550] 
<i>Kanaalweg 15</i>",1-Jun-2016,"<a href=""http://prana.zone/prana-bio-bulk"" target=""_blank"">www.prana.zone</a>
info@prana.zone
+32 11 43 66 35"
"<a href=""https://chezmamie-biovrac.ch/nos-magasins"" target=""_blank"">Chez Mamie

<img src=""https://www.bepakt.com/images/logo_chez_mamie_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" style=""width:20px; padding-right:2px;""> <b>Switzerland</b>

<a href=""https://www.google.com/maps/place/Chez+Mamie/@46.2212565,7.3537414,17z/data=!3m1!4b1!4m5!3m4!1s0x478edc17f062df91:0xcdc54ed29846fb35!8m2!3d46.2212528!4d7.3559354"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Sion [1950]
<i>Rue de la Drague 18</i>

<a href=""https://www.google.com/maps/place/Chez+Mamie+Zürich/@47.3929049,8.5371364,17z/data=!3m1!4b1!4m5!3m4!1s0x47900a710a47888b:0x4232f029d8b3e9f4!8m2!3d47.3929013!4d8.5393304"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Zurich [8057]
<i>Schaffhauserstrasse 74</i>
","6-Jun-2016

18-Mar-2017","<a href=""https://chezmamie-biovrac.ch/nos-magasins"" target=""_blank"">chezmamie-biovrac.ch</a>

<a href=""mailto:contact.chezmamie@gmail.com"">contact.chezmamie@gmail.com</a> (Sion)
+41 78 669 86 80
<a href=""mailto:chezmamie.zurich@gmail.com"">chezmamie.zurich@gmail.com</a> (Zurich)
+41 79 963 30 61
"
"<a href=""http://www.facebook.com/ChezBocaux"" target=""_blank"">Chez Boceaux
<img src=""https://www.bepakt.com/images/logo_chez_bocaux_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/canada.png"" style=""width:20px; padding-right:2px;""> <b>Canada</b>

<a href=""https://www.google.com/maps/place/Chez+Bocaux/@47.44274,-70.5066658,15z/data=!4m2!3m1!1s0x0:0x4b1f772aa6dfd41?sa=X&ved=0ahUKEwj6rLC1w_HRAhXrAsAKHVybDXUQ_BIIazAK""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Baie-Saint-Paul
[QC G3Z 1L9]
<i>52 Rue Saint Jean Baptiste</i>",13-Jun-2016,"<a href=""mailto:emy__15@hotmail.com"">emy__15@hotmail.com</a>
+1 418-435-5005

<a href=""https://www.facebook.com/ChezBocaux"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/chezbocaux"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/Unikorneinzelhandel/"" target=""_blank"">Unikorn

<img src=""https://www.bepakt.com/images/logo_unikorn_1000.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/austria.gif"" style=""width:20px; padding-right:2px;""> <b>Austria</b>

Villach",15-Jun-2016,"<a href=""https://www.facebook.com/Unikorneinzelhandel/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href=""https://www.facebook.com/pg/levracepiceriesansemballage"" target=""_blank"">Le vrac - Epicerie sans emballage

<img src=""https://www.bepakt.com/images/logo_levrac.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/france.gif"" style=""width:20px; padding-right:2px;""> <b>France</b>

<a href=""https://www.google.com/maps/place/Le+vrac+-+Epicerie+sans+emballage/@47.2366242,6.0261726,17z/data=!3m1!4b1!4m5!3m4!1s0x478d633bdf206099:0xf2ab2ef3a0deea0a!8m2!3d47.2366242!4d6.0283613"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Besançon [25000]
<i>90 Rue des Granges</i>",20-Jun-2016,"<a href=""mailto:levrac@orange.fr"">levrac@orange.fr</a>
+33 3 81 59 95 67

<a href=""http://www.facebook.com/levracepiceriesansemballage"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""www.http://greenssi.ca"" target=""_blank"">green

<img src=""https://www.bepakt.com/images/logo_green_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/canada.png"" style=""width:20px; padding-right:2px;""> <b>Canada</b>

<a href=""https://www.google.com/maps/place/GREEN+Zero+Waste+Grocery+Store/@48.8603355,-123.5175616,13.23z/data=!4m18!1m12!4m11!1m6!1m2!1s0x548f57504a254111:0x7a28f5dd350173f2!2sGREEN+Zero+Waste+Grocery+Store,+110+–+150+Fulford+Ganges+Road,+Salt+Spring+Island,+BC+V8K+2K1,+Canada!2m2!1d-123.500324!2d48.851871!1m3!2m2!1d-123.5006955!2d48.8517364!3m4!1s0x548f57504a254111:0x7a28f5dd350173f2!8m2!3d48.851871!4d-123.500324""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Vancouver, BC
[Saltspring Island, V8K 2T9]
<i>#110-150 Fulford Ganges Rd. (Creekhouse)</i>",25-Jun-2016,"<a href=""http://www.greenssi.ca"" target=""_blank"">www.greenssi.ca</a>
<a href=""mailto:crystal@greenssi.ca"">crystal@greenssi.ca</a>
(Crystal Lehky)

<a href=""https://www.facebook.com/green.saltspring"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/green_ssi_ "" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a>"
"<a href=""http://www.obocal.com"" target=""_blank"">O Bocal

(Ô Bocal)

<img src=""https://www.bepakt.com/images/logo_o_bocal_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/france.gif"" style=""width:20px; padding-right:2px;""> <b>France</b>

<a href=""https://www.google.com/maps/place/Ô+Bocal/@47.2176496,-1.557448,17z/data=!3m1!4b1!4m5!3m4!1s0x4805eea6a64e5ed7:0x891a57426793c02d!8m2!3d47.217646!4d-1.555254""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Nantes [44000]
<i>3 rue de l'Hôtel de Ville</i>",1-Jul-2016,"<a href=""http://www.obocal.com"" target=""_blank"">www.obocal.com</a>
<a href=""mailto:contact@obocal.com"">contact@obocal.com</a>

<a href=""http://www.facebook.com/OBocal"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/OBocal"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/obocal/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://pinterest.com/OBocal/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_pinterest_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/pg/verpakkingsvrijewinkel/"" target=""_blank"">De Verpakkingsvrije Winkel

<img src=""https://www.bepakt.com/images/logo_deverpakkingsvrijewinkel_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=19 height=10 style=""width:20px; padding-right:2px;""> <b>Netherlands</b>

<a href=""https://www.google.com/maps/place/Aalmarkt+22,+2311+ED+Leiden/@52.15896,4.4882101,17z/data=!3m1!4b1!4m5!3m4!1s0x47c5c6f2ab52a457:0xf9cfcc74aa93f6db!8m2!3d52.15896!4d4.4903988""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Leiden
<i>Aalmarkt 22</i>",1-Jul-2016,"<a href=""mailto:verpakkingsvrijewinkelleiden@gmail.com"">E-Mail</a>

<a href=""http://www.facebook.com/verpakkingsvrijewinkel"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.voorjebuurt.nl/campaigns/verpakkingsvrijewinkelleiden/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_vjb_300.png"" width=15 height=15></a> "
"<a href=""http://www.bio-unverpackt.com"" target=""_blank"">Bio-unverpackt Meudt

<img src=""https://www.bepakt.com/images/logo_biounverpackt_1000.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/BIO-unverpackt+Meudt/@50.0788381,8.2317449,17z/data=!3m1!4b1!4m5!3m4!1s0x47bdbe751275dbcf:0xf79064479cbe1ffd!8m2!3d50.0788381!4d8.2339336?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Wiesbaden [65185]
<i>Dotzheimer Str. 19</i>",2-Jul-2016,"<a href=""http://www.bio-unverpackt.com"" target=""_blank"">www.bio-unverpackt.com</a>

<a href=""https://www.facebook.com/biounverpackt"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/bio_unverpackt"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/biounverpackt_wiesbaden/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/tantetrineladen"" target=""_blank"">Tante Trine

<img src=""https://www.bepakt.com/images/logo_tantetrine_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Tante+Trine/@51.6226079,7.1990137,17z/data=!3m1!4b1!4m5!3m4!1s0x47b8e337a091f589:0x9179585d6984edca!8m2!3d51.6226079!4d7.2012024?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Recklinghausen [45657]
<i>Tellstr. 33</i>","2-Jul-2016

<b><span style=""color:red"">Closed 24-Dec-2016</span></b>","<a href=""https://www.facebook.com/tantetrineladen"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> 
+49 1525 3861254"
"<a href=""https://www.facebook.com/thepicker.official/"" target=""_blank"">The Picker
더 피커(the picker)
'수확하는 사람'

<img src=""https://www.bepakt.com/images/logo_thepicker.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/korea.png"" style=""width:20px; padding-right:2px;""> <b>South Korea</b>

<a href=""https://www.google.com/maps/place/the+picker+(더피커)/@37.5472963,127.0380006,17z/data=!3m1!4b1!4m5!3m4!1s0x357ca49df526f883:0xa13e4c3c983ffbcf!8m2!3d37.5472921!4d127.0401893?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Seoul
성동구 서울숲 2길 13
/ 13 Seoulsup 2(i)-gil,
Seongsu-dong 1(il)-ga,
Seongdong-gu",10-Jul-2016,"<a href=""http://www.thepicker.net"" target=""_blank"">www.thepicker.net</a>
<a href=""mailto:thepicker.official@gmail.com"">thepicker.official@gmail.com</a>
+82 70-4118-0710

<a href=""https://www.facebook.com/thepicker.official"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://instagram.com/thepicker"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.der-greissler.at/"" target=""_blank"">Der Greißler

<img src=""https://www.bepakt.com/images/logo_dergreissler_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/austria.gif"" style=""width:20px; padding-right:2px;""> <b>Austria</b>

<a href=""https://www.google.com/maps/place/Der+Greißler/@48.2099139,16.3415958,17z/data=!4m12!1m6!3m5!1s0x476d07ebfcc96605:0x48cee1c60725ef39!2sDer+Greißler!8m2!3d48.2099139!4d16.3437898!3m4!1s0x476d07ebfcc96605:0x48cee1c60725ef39!8m2!3d48.2099139!4d16.3437898"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Vienna [1080] (Wien)
<i>Albertgasse 19</i>",15-Jul-2016,"<a href=""http://www.der-greissler.at"" target=""_blank"">www.der-greissler.at</a>
<a href=""mailto:post@der-greissler.at"">post@der-greissler.at</a>
004367761615420"
"<a href=""https://www.facebook.com/Unverpackt-Berlin-Friedrichshain-mein-Markt-meene-Welt-1079678048772086/"" target=""_blank"">Mein Markt Meene Welt

<img src=""https://www.bepakt.com/images/logo_mein_markt_meene_welt.png"" height=70 width=70></a>

","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Unverpackt+Berlin+Friedrichshain+-+Mein+Markt/@52.5085966,13.4605435,17z/data=!4m12!1m6!3m5!1s0x47a84ef602b7964f:0x628720a05d5a4a0f!2sUnverpackt+Berlin+Friedrichshain+-+Mein+Markt!8m2!3d52.5085966!4d13.4627322!3m4!1s0x47a84ef602b7964f:0x628720a05d5a4a0f!8m2!3d52.5085966!4d13.4627322"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Berlin [10245]
<i>Wühlischstraße 15</i>",19-Jul-2016,"meinmarktmeenewelt@gmail.com

<a href=""https://www.facebook.com/Unverpackt-Berlin-Friedrichshain-mein-Markt-meene-Welt-1079678048772086/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""http://www.epicerie-alessentiel.be"" target=""_blank"">A l'essentiel

<img src=""https://www.bepakt.com/images/logo_a_lessentiel.png"" height=70 width=70></a>


","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

Ath (Aat) [7800]
<i>14 Rue du Moulin</i>",4-Aug-2016,"<a href=""http://www.epicerie-alessentiel.be"" target=""_blank"">www.epicerie-alessentiel.be</a>
info@epicerie-alessentiel.be
+32.471.436.969"
"<a href=""http://epicerieloco.ca"" target=""_blank"">Loco

<img src=""https://www.bepakt.com/images/logo_loco_1000.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/canada.png"" style=""width:20px; padding-right:2px;""> <b>Canada</b>

<a href=""https://www.google.com/maps?ll=45.542958,-73.628716&z=14&t=m&hl=en-US&gl=CA&mapclient=embed&cid=2353397570602304558""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Montreal
[QC H2P 1V3]
<i>422 Rue Jarry E</i>
",9-Aug-2016,"<a href=""http://www.epicerieloco.ca"" target=""_blank"">www.epicerieloco.ca</a>
<a href=""mailto:info@epicerieloco.ca"">info@epicerieloco.ca</a>

<a href=""http://www.facebook.com/epicerieloco"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://instagram.com/epicerieloco"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.youtube.com/channel/UCuuXTpUYYQl4CuKnejpprrg"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_youtube_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/pg/naturasfusafaenza/about/?ref=page_internal"" target=""_blank"">Natura Sfusa

<img src=""https://bepakt.com/wp-content/uploads/2018/06/Natura-sfusa.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Natura+Sfusa/@44.284542,11.8842908,17z/data=!3m1!4b1!4m5!3m4!1s0x132b4e204a8bee3b:0xb4c9419bc2719d78!8m2!3d44.2845382!4d11.8864795"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Faenza [84018]
<i>Corso Aurelio Saffi, 48D</i>",10-Aug-2016,"+39 340 9026807

<a href=""https://www.facebook.com/naturasfusafaenza/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href=""http://www.rutanatur.de"" target=""_blank"">rutaNatur

<img src=""https://www.bepakt.com/images/logo_rutanatur_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/rutaNatur/@48.3685802,10.8885327,17z/data=!3m1!4b1!4m5!3m4!1s0x479ebd4e0a64e3e5:0xe63ce6a05ccba7b5!8m2!3d48.3685802!4d10.8907214"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Augsburg [86150
<i>Prinzregentenstraße 7</i>",13-Aug-2016,"<a href=""http://www.rutanatur.de"" target=""_blank"">www.rutaNatur.de</a>"
"<a href=""http://www.portion-magique.ch"" target=""_blank"">La Portion Magique

<img src=""https://www.bepakt.com/images/logo_la_portion_magique_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" style=""width:20px; padding-right:2px;""> <b>Switzerland</b>

<a href=""https://www.google.com/maps/place/La+Portion+Magique/@42.114084,-65.0512122,3z/data=!4m8!1m2!2m1!1sla+portion+magique!3m4!1s0x478e194d48be3eb1:0xec52bbb24786056c!8m2!3d47.1411014!4d7.2461603?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Biel [2502]
<i>Kirchgässli 5</i>",2-Sep-2016,"<a href=""http://www.portion-magique.ch"" target=""_blank"">www.portion-magique.ch</a>"
"<a href=""http://www.megavrac.com"" target=""_blank"">Méga Vrac

<img src=""https://www.bepakt.com/images/logo_megavrac_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/canada.png"" style=""width:20px; padding-right:2px;""> <b>Canada</b>

<a href=""https://www.google.com/maps/place/Méga+Vrac+-+Epicerie+zéro+déchet/@45.545804,-73.5786487,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc91bfcd33262cd:0x83466116a66646a8!8m2!3d45.545804!4d-73.57646?hl=en-US""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Montreal
[QC H1Y 1W1]
<i>2649 Rue Masson</i>",3-Sep-2016,"<a href=""http://www.megavrac.com"" target=""_blank"">megavrac.com</a>
+1 514-596-6999

<a href=""http://www.facebook.com/Mega-Vrac-746412688812851"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://instagram.com/megavrac"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.loes-market.dk"" target=""_blank"">Løs Market

<img src=""https://www.bepakt.com/images/logo_loes_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/denmark.gif"" style=""width:20px; padding-right:2px;""> <b>Denmark</b>

<a href=""https://www.google.com/maps/place/LØS+market/@55.6683619,12.5492084,17z/data=!3m1!4b1!4m5!3m4!1s0x465253752f4aad4f:0x3a5ebaafe5966bff!8m2!3d55.6683619!4d12.5513971?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Copenhagen
[1662, København K]
<i>Saxogade 77</i>",3-Sep-2016,"<a href=""http://www.loes-market.dk"" target=""_blank"">www.loes-market.dk</a>"
"<a href=""https://www.facebook.com/bottega.granel"" target=""_blank"">Bottega Granel

<img src=""https://www.bepakt.com/images/logo_bottegagranel_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Via+Carolina+Spanna,+18,+10095+Grugliasco+TO,+Italië/@45.0634945,7.5751681,17z/data=!3m1!4b1!4m5!3m4!1s0x47886b3c5d04fdf9:0xd026ed66ab341151!8m2!3d45.0634945!4d7.5773568""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Grugliasco [10095]
<i>Via Carolina Spanna 18</i>",10-Sep-2016,"<a href=""mailto:info@bottegagranel.it"">info@bottegagranel.it</a>

<a href=""http://www.facebook.com/bottega.granel"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""http://www.labonnepiochegrenoble.com"" target=""_blank"">La Bonne Pioche

<img src=""https://www.bepakt.com/images/logo_la_bonne_pioche_1000.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/france.gif"" style=""width:20px; padding-right:2px;""> <b>France</b>

<a href=""https://www.google.com/maps/place/La+Bonne+Pioche/@45.188907,5.7266867,17z/data=!3m1!4b1!4m5!3m4!1s0x478af48b898c0001:0x16034f780eca070a!8m2!3d45.1889032!4d5.7288807""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Grenoble [38000]
<i>2 Rue Condillac</i>
",12-Sep-2016,"<a href=""http://www.labonnepiochegrenoble.com"" target=""_blank"">www.labonnepiochegrenoble.com</a>
<a href=""mailto:labonnepioche38@gmail.com"">labonnepioche38@gmail.com</a>
+334 38 38 31 22

<a href=""http://www.facebook.com/labonnepiochegrenoble"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/labonnepioche38"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.youtube.com/channel/UC8YddZncC3FiL1dZE0-iSxg"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_youtube_300.png"" width=15 height=15></a>"
"<a href=""http://www.bioalsacco.it"" target=""_blank"">Bio al Sacco

<img src=""https://bepakt.com/images/logo_bio_al_sacco.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Bio+al+Sacco/@43.7156739,10.4108013,17z/data=!3m1!4b1!4m5!3m4!1s0x12d591be2023d669:0xb4ba77bb5858652a!8m2!3d43.71567!4d10.41299"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a>Pisa [56124]
<i>via Garibaldi, 101</i>",17-Sept-2016,"<a href=""http://www.bioalsacco.it"" target=""_blank"">www.bioalsacco.it</a>

<a href=""mailto:bioalsacco@gmail.com"">bioalsacco@gmail.com</a>


<a href=""https://www.facebook.com/BIO-al-SACCO-205944676635407/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  <a href=""https://www.instagram.com/bioalsacco/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.linkedin.com/company/bioalsacco/?trk=similar-companies_org_title&originalSubdomain=lu"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a>
"
"<a href=""http://www.tara-unverpackt.de/"" target=""_blank"">Tara - unverpackt

<img src=""https://www.bepakt.com/images/logo_tara_unverpackt_1000.png"" height=70 width=70></a>





","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

Osnabrück",22-Sep-2016,"<a href=""http://www.tara-unverpackt.de/"" target=""_blank"">www.tara-unverpackt.de</a>"
"<a href=""http://www.epicerie-en-vrac.ch"" target=""_blank"">Au P'tit Tout: Épicerie vrac et locale

<img src=""https://www.bepakt.com/images/logo_au_ptit_tout_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" style=""width:20px; padding-right:2px;""> <b>Switzerland</b>

<a href=""https://www.google.com/maps/place/Au+P'tit+Tout:+Épicerie+vrac+et+locale/@46.6196925,7.0562277,17z/data=!4m13!1m7!3m6!1s0x478e6262fe3288eb:0x57715a172755ff7a!2sRue+de+la+Promenade+42,+1630+Bulle,+Switzerland!3b1!8m2!3d46.6196925!4d7.0584164!3m4!1s0x478e6262fe2d7719:0xea81326554f281e4!8m2!3d46.6196925!4d7.0584164?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Bulle [1630]
<i>Rue de la Promenade 42</i>",23-Sep-2016,"<a href=""http://www.epicerie-en-vrac.ch"" target=""_blank"">www.epicerie-en-vrac.ch</a>
aupetittout@gmail.com
+41 795498734
"
